xxz,x (out of 300),y (out of 400),rotation,font size,font weight,# of words,# of characters,lines of text,alignment,caps or lowercase,,,NOTES:
7,40,222,25.5,9.56,medium,6,43,1,,L,,,
8,60,277,40.85,9.56,medium,7,39,1,,L,,,
9,78,293,44.55,9.56,medium,6,35,1,,L,,,
10,103,320,50.95,9.56,medium,8,43,1,,L,,,
11,138,330,57.21,9.56,medium,8,38,1,,L,,,
12,158,368,64.51,9.56,medium,5,44,1,,L,,,
13,234,370,82.34,9.56,medium,8,52,1,,L,,,
1,130,24,4.3,23.54,bold,2,3,1,,C,,,
2,182,48,2.49,6.49,bold,6,33,2,centered,L,,,
3,67,84,2.67,9.49,medium,15,70,3,left,L,,,
4,30,187,24.44,7.89,bold,11,55,4,left,L,,,
5,91,266,39.42,9.49,medium,23,130,4,left,L,,,
6,229,239,359.25,9.49,medium,10,38,7,centered,L,,,
7,112,240,356,9.49,medium,13,65,3,left,L,,,
1,89,13,0,10.6,medium,3,18,1,,C,,,
2,95,57,0,12.55,bold,4,22,1,,L,,,
3,26,86,20.97,11.75,bold,4,16,3,left,L,,,
4,82,85,328.61,11.75,bold,1,6,1,,L,,,
5,106,113,27.69,11.75,bold,3,11,1,,L,,,
6,158,96,20.97,11.75,bold,1,2,1,,L,,,
7,162,105,20.97,11.75,bold,2,6,1,,L,,,
8,195,83,353.15,11.75,bold,4,15,1,,L,,,
9,232,116,20.3,11.75,bold,7,26,4,centered,L,,,
10,63,127,293.78,17.8,bold,3,23,1,,L,,,
11,177,170,0,10.6,medium,2,8,2,left,L,,,
12,166,202,0,10.6,medium,1,3,1,,L,,,
13,180,219,0,10.6,medium,1,5,1,,L,,,
14,145,237,0,10.6,medium,3,14,1,,L,,,
15,193,256,0,10.6,medium,2,15,1,,L,,,
16,161,275,0,10.6,medium,2,13,1,,L,,,
17,52,318,0,10.57,bold,6,27,4,centered,L,,,
18,163,312,0,10.57,bold,6,24,4,centered,L,,,
1,22,19,0,31.57,condensed bold,4,30,1,,C,,,
2,82,49,0,14.88,condensed bold,7,26,1,,C,,,
3,28,136,45,27.54,bold,1,5,1,,C,,,
4,133,178,45,27.54,bold,1,5,1,,C,,,
5,67,180,45,7.64,bold,1,5,1,,C,,,
6,74,186,45,5.14,bold,1,5,1,,C,,,
7,183,147,45,67.14,bold,1,2,1,,C,,,
8,138,178,315,67.14,bold,1,3,1,,C,,,
9,137,193,315,67.14,bold,1,4,1,,C,,,
10,132,268,315,67.14,bold,1,1,1,,C,,,
11,23,246,0,8.53,medium,9,38,2,left,C,,,
12,23,373,0,6.12,medium,10,57,1,,C,,,
13,28,336,90,6.12,medium,3,23,1,,C,,,
14,43,236,0,8.54,condensed bold,6,27,3,left,C,,,
1,29,95,7.19,30.92,condensed bold,2,12,1,,C,,,
2,4,234,7.19,104.38,bold,1,1,1,,C,,,
3,53,205,7.19,79.25,bold,1,1,1,,C,,,
4,97,172,7.19,88.99,bold,1,1,1,,C,,,
5,145,137,7.19,79.93,bold,1,1,1,,C,,,
6,191,102,7.19,90.17,bold,1,1,1,,C,,,
7,216,73,7.19,79.69,bold,1,1,1,,C,,,
